年份,总收益,年化收益,年化波动率,夏普比率,最大回撤率,最大回撤起始日,最大回撤结束日,卡尔玛比率,总交易次数,胜率,盈亏比,params
2005,0.020583600557192216,0.024398064056320834,0.09612191648806913,0.25382415319766516,0.07457519065107474,2005-06-03,2005-07-19,0.32716059916595364,213.0,0.4413145539906103,1.0554685075793155,cci_55
2006,0.5763838352000215,0.6094737155415244,0.15101019441039318,4.035977292269334,0.06284604362753521,2006-05-15,2006-09-26,9.697885186753286,241.0,0.5435684647302904,1.8898216153743,cci_55
2007,0.3884187873311735,0.40737475902387743,0.17248878315735117,2.361746378906586,0.07226590330967107,2007-01-29,2007-02-05,5.637164144731033,242.0,0.5991735537190083,1.4049189933771467,cci_55
2008,0.06652614464978202,0.06820286390029451,0.19001284711559635,0.3589381714742823,0.09408783555250774,2008-09-18,2008-09-25,0.7248850342851434,246.0,0.5609756097560976,1.0734302535578697,cci_55
2009,0.2046849079676114,0.21206262278444976,0.14586649662681667,1.4538130940855363,0.11046055338215918,2009-07-27,2009-12-29,1.9198040955921976,244.0,0.5204918032786885,1.2616722000565121,cci_55
2010,0.0174833900076794,0.0182123841527837,0.10404017828378519,0.17505145082610962,0.06718615357199312,2010-10-25,2010-12-21,0.27107347547837035,242.0,0.4669421487603306,1.038341476866288,cci_55
2011,-0.058556517709478006,-0.06041722094484803,0.061834494133986,-0.9770795700848307,0.07553797518676242,2011-04-13,2011-12-07,-0.7998257935226702,244.0,0.47950819672131145,0.8167143486231445,cci_55
2012,-0.0044612945551868455,-0.004626144910471641,0.06545396095045516,-0.07067784505774011,0.09048577529591027,2012-02-28,2012-12-05,-0.051125659202709305,243.0,0.45267489711934156,0.9853773359102873,cci_55
2013,-0.012179825424103341,-0.01289164814660726,0.10492925160048881,-0.12286038402038126,0.0954850485091339,2013-02-06,2013-06-07,-0.13501221759733484,238.0,0.4789915966386555,0.9712533497400493,cci_55
2014,0.4476260554718976,0.4630075719758602,0.17547613574863616,2.6385785736648737,0.06185121107266417,2014-12-08,2014-12-09,7.485828716141203,245.0,0.5061224489795918,1.8555116727238028,cci_55
2015,-0.03510401748504155,-0.036233864730360055,0.18107075158541114,-0.20010887685120438,0.1462889836144537,2015-04-27,2015-12-28,-0.2476868991437853,244.0,0.5,0.9595701242224322,cci_55
